Data;INCC-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_INCC12;
2007.11;362,403;
2007.12;364,525;
2008.01;365,906;
2008.02;367,382;
2008.03;369,812;
2008.04;373,031;
2008.05;380,582;
2008.06;387,906;
2008.07;393,556;
2008.08;398,202;
2008.09;401,975;
2008.10;405,09;
2008.11;407,109;
2008.12;407,807;
2009.01;409,166;
2009.02;410,262;
2009.03;409,216;
2009.04;409,042;
2009.05;414,742;
2009.06;417,657;
2009.07;418,757;
2009.08;418,528;
2009.09;419,147;
2009.10;419,405;
2009.11;420,635;
2009.12;421,051;
2010.01;423,74;
2010.02;425,268;
2010.03;428,476;
2010.04;432,079;
2010.05;439,914;
2010.06;444,718;
2010.07;446,688;
2010.08;447,296;
2010.09;448,222;
2010.10;449,103;
2010.11;450,763;
2010.12;453,766;
2011.01;455,619;
2011.02;456,917;
2011.03;458,887;
2011.04;463,766;
2011.05;477,405;
2011.06;479,183;
2011.07;481,33;
2011.08;481,966;
2011.09;482,658;
2011.10;483,758;
2011.11;487,221;
2011.12;487,749;
2012.01;492,106;
2012.02;493,584;
2012.03;496,079;
2012.04;499,791;
2012.05;509,184;
2012.06;512,903;
2012.07;516,318;
2012.08;517,657;
2012.09;518,816;
2012.10;519,907;
2012.11;521,638;
2012.12;522,474;
2013.01;525,85;
2013.02;529,029;
2013.03;531,691;
2013.04;535,601;
2013.05;547,655;
2013.06;553,948;
2013.07;556,6;
2013.08;558,34;
2013.09;560,767;
2013.10;562,241;
2013.11;564,201;
2013.12;564,765;
2014.01;569,72;
2014.02;571,577;
2014.03;573,156;
2014.04;578,224;
2014.05;590,099;
2014.06;594,013;
2014.07;598,441;
2014.08;598,898;
2014.09;599,823;
2014.10;600,865;
2014.11;603,524;
2014.12;604,026;
2015.01;609,568;
2015.02;611,447;
2015.03;615,248;
2015.04;618,06;
2015.05;623,951;
2015.06;635,403;
2015.07;638,88;
2015.08;642,644;
2015.09;644,046;
2015.10;646,355;
2015.11;648,542;
2015.12;649,216;
2016.01;651,759;
2016.02;655,263;
2016.03;659,446;
2016.04;663,057;
2016.05;663,61;
2016.06;676,42;
2016.07;679,751;
2016.08;681,756;
2016.09;684,025;
2016.10;685,489;
2016.11;686,607;
2016.12;688,965;
2017.01;691,792;
2017.02;696,314;
2017.03;697,41;
2017.04;697,244;
2017.05;701,664;
2017.06;708,197;
2017.07;710,355;
2017.08;712,884;
2017.09;713,33;
2017.10;715,527;
2017.11;717,751;
2017.12;718,276;
2018.01;720,495;
2018.02;721,414;
2018.03;723,163;
2018.04;725,245;
2018.05;726,923;
2018.06;733,984;
2018.07;738,487;
2018.08;739,58;
2018.09;741,305;
2018.10;743,866;
2018.11;744,865;
2018.12;745,856;
2019.01;749,517;
2019.02;750,18;
2019.03;752,524;
2019.04;755,373;
2019.05;755,625;
2019.06;762,304;
2019.07;766,699;
2019.08;769,951;
2019.09;773,52;
2019.10;774,939;
2019.11;775,225;
2019.12;776,839;
2020.01;779,766;
2020.02;782,336;
2020.03;784,338;
2020.04;786,07;
2020.05;787,666;
2020.06;790,331;
2020.07;799,589;
2020.08;805,356;
2020.09;814,701;
2020.10;828,778;
2020.11;839,382;
2020.12;845,268;
2021.01;852,809;
2021.02;868,929;
2021.03;880,265;
2021.04;888,191;
2021.05;907,899;
2021.06;927,512;
2021.07;935,359;
2021.08;939,699;
2021.09;944,52;
2021.10;952,596;
2021.11;959,001;
2021.12;962,321;
2022.01;969,184;
2022.02;972,904;
2022.03;981,244;
2022.04;990,543;
2022.05;1013,164;
2022.06;1034,824;
2022.07;1043,76;
2022.08;1044,679;
2022.09;1045,616;
2022.10;1046,896;
2022.11;1050,701;
2022.12;1051,632;
2023.01;1056,418;
2023.02;1056,896;
2023.03;1060,116;
2023.04;1061,635;
2023.05;1067,919;
2023.06;1075,54;
2023.07;1076,626;
2023.08;1078,412;
2023.09;1082,104;
2023.10;1084,242;
2023.11;1084,986;
2023.12;1088,312;
2024.01;1091,25;
2024.02;1092,685;
2024.03;1095,738;
2024.04;1101,389;
2024.05;1110,887;
